"Polynomial Degree","a","b"
144,"{-2.230466, 2.230466}","{0. - 1.*I, 0. + 1.*I}"
145,"{-2.230505}","{}"
146,"{-2.230543, 2.230543}","{}"
147,"{-2.230581}","{}"
148,"{-2.230618, 2.230618}","{0. - 1.*I, 0. + 1.*I}"
149,"{-2.230655}","{}"
150,"{-2.230691, 2.230691}","{}"
151,"{-2.230727}","{}"
152,"{-2.230762, 2.230762}","{0. - 1.*I, 0. + 1.*I}"
153,"{-2.230797}","{}"
154,"{-2.230831, 2.230831}","{}"
155,"{-2.230865}","{}"
156,"{-2.230898, 2.230898}","{0. - 1.*I, 0. + 1.*I}"
157,"{-2.230931}","{}"
158,"{-2.230964, 2.230964}","{}"
159,"{-2.230996}","{}"
160,"{-2.231028, 2.231028}","{0. - 1.*I, 0. + 1.*I}"
161,"{-2.231059}","{}"
162,"{-2.23109, 2.23109}","{}"
163,"{-2.231121}","{}"
164,"{-2.231151, 2.231151}","{0. - 1.*I, 0. + 1.*I}"
165,"{-2.231181}","{}"
166,"{-2.23121, 2.23121}","{}"
167,"{-2.231239}","{}"
168,"{-2.231268, 2.231268}","{0. - 1.*I, 0. + 1.*I}"
169,"{-2.231297}","{}"
170,"{-2.231325, 2.231325}","{}"
171,"{-2.231353}","{}"
172,"{-2.23138, 2.23138}","{0. - 1.*I, 0. + 1.*I}"
173,"{-2.231407}","{}"
174,"{-2.231434, 2.231434}","{}"
175,"{-2.231461}","{}"
176,"{-2.231487, 2.231487}","{0. - 1.*I, 0. + 1.*I}"
177,"{-2.231513}","{}"
178,"{-2.231538, 2.231538}","{}"
179,"{-2.231564}","{}"
180,"{-2.231589, 2.231589}","{0. - 1.*I, 0. + 1.*I}"
181,"{-2.231614}","{}"
182,"{-2.231638, 2.231638}","{}"
183,"{-2.231662}","{}"
184,"{-2.231686, 2.231686}","{0. - 1.*I, 0. + 1.*I}"
185,"{-2.23171}","{}"
186,"{-2.231734, 2.231734}","{}"
187,"{-2.231757}","{}"
188,"{-2.23178, 2.23178}","{0. - 1.*I, 0. + 1.*I}"
189,"{-2.231803}","{}"
190,"{-2.231825, 2.231825}","{}"
191,"{-2.231847}","{}"
192,"{-2.231869, 2.231869}","{0. - 1.*I, 0. + 1.*I}"
193,"{-2.231891}","{}"
194,"{-2.231913, 2.231913}","{}"
195,"{-2.231934}","{}"
196,"{-2.231955, 2.231955}","{0. - 1.*I, 0. + 1.*I}"
197,"{-2.231976}","{}"
198,"{-2.231997, 2.231997}","{}"
199,"{-2.232017}","{}"
200,"{-2.232038, 2.232038}","{0. - 1.*I, 0. + 1.*I}"
201,"{-2.232058}","{}"
202,"{-2.232077, 2.232077}","{}"
203,"{-2.232097}","{}"
204,"{-2.232117, 2.232117}","{0. - 1.*I, 0. + 1.*I}"
205,"{-2.232136}","{}"
206,"{-2.232155, 2.232155}","{}"
207,"{-2.232174}","{}"
208,"{-2.232193, 2.232193}","{0. - 1.*I, 0. + 1.*I}"
209,"{-2.232211}","{}"
210,"{-2.23223, 2.23223}","{}"
211,"{-2.232248}","{}"
212,"{-2.232266, 2.232266}","{0. - 1.*I, 0. + 1.*I}"
213,"{-2.232284}","{}"
214,"{-2.232302, 2.232302}","{}"
215,"{-2.232319}","{}"
216,"{-2.232337, 2.232337}","{0. - 1.*I, 0. + 1.*I}"
217,"{-2.232354}","{}"
218,"{-2.232371, 2.232371}","{}"
219,"{-2.232388}","{}"
